iter	RMSE
0	22.62446376
1	20.31126754
2	19.14592166
3	18.03226638
4	17.1643842
5	16.7766363
6	16.13694373
7	15.73862797
8	15.07407485
9	14.82333655
10	14.39379481
11	13.98314419
12	13.6718718
13	13.32221977
14	12.9563229
15	12.45050095
16	12.28123165
17	12.14342915
18	11.92572418
19	11.78279306
20	11.54361203
21	11.34522234
22	11.22485747
23	11.08014625
24	10.93125681
25	10.8095815
26	10.65151099
27	10.43908941
28	10.29075253
29	10.18755504
30	10.08349731
31	10.0012448
32	9.894531651
33	9.78346502
34	9.696899447
35	9.600491228
36	9.453186992
37	9.380747676
38	9.2449683
39	9.178112451
40	9.113207374
41	8.99585031
42	8.882686851
43	8.810535334
44	8.736254144
45	8.689657597
46	8.622355074
47	8.528750247
48	8.468447277
49	8.38943824
50	8.329553172
51	8.288637595
52	8.221970664
53	8.14692584
54	8.10128182
55	8.060936244
56	8.032426247
57	7.989648468
58	7.950700449
59	7.911659172
60	7.881954609
61	7.827646698
62	7.793472423
63	7.760350008
64	7.700991149
65	7.649147154
66	7.608150051
67	7.567035154
68	7.531002579
69	7.483152419
70	7.440417656
71	7.413222006
72	7.34584276
73	7.299729481
74	7.283986648
75	7.22936929
76	7.205993123
77	7.180913622
78	7.134387704
79	7.113339013
80	7.069240419
81	7.031325281
82	7.008521611
83	6.972975493
84	6.954599557
85	6.921201898
86	6.898238382
87	6.864455854
88	6.820393714
89	6.809161263
90	6.79133907
91	6.772666512
92	6.74920548
93	6.721044049
94	6.684562427
95	6.642246483
96	6.605373011
97	6.582310678
98	6.536003882
99	6.518679123
100	6.497379175
101	6.465370631
102	6.436270501
103	6.404243498
104	6.374157431
105	6.348344888
106	6.330799554
107	6.316560557
108	6.296473639
109	6.284931736
110	6.272532822
111	6.248176098
112	6.233031173
113	6.215735381
114	6.188429051
115	6.161698349
116	6.147273491
117	6.127403303
118	6.110586123
119	6.082311921
120	6.063736186
121	6.060733683
122	6.047678462
123	6.037581009
124	6.016210607
125	6.00813066
126	5.982934131
127	5.976539411
128	5.959257113
129	5.924840817
130	5.913947974
131	5.90244396
132	5.888297636
133	5.872955147
134	5.848577165
135	5.822849906
136	5.795180124
137	5.787181914
138	5.772853419
139	5.761409301
140	5.745561709
141	5.734053092
142	5.71648963
143	5.695508463
144	5.679936404
145	5.669760647
146	5.664101107
147	5.645569815
148	5.631771658
149	5.624516781
