iter	Passed	Remaining
0	33	4992
1	57	4281
2	80	3942
3	102	3731
4	123	3567
5	143	3443
6	165	3384
7	189	3357
8	214	3361
9	235	3290
10	256	3247
11	279	3213
12	302	3187
13	326	3175
14	349	3148
15	371	3114
16	394	3089
17	415	3050
18	436	3010
19	456	2967
20	476	2928
21	499	2906
22	523	2892
23	545	2863
24	567	2835
25	588	2807
26	610	2779
27	630	2746
28	653	2725
29	674	2699
30	700	2690
31	724	2670
32	748	2652
33	768	2620
34	790	2597
35	815	2583
36	840	2568
37	865	2550
38	889	2531
39	916	2521
40	946	2516
41	971	2498
42	993	2473
43	1015	2446
44	1037	2421
45	1057	2391
46	1078	2364
47	1099	2336
48	1121	2312
49	1147	2294
50	1173	2277
51	1197	2256
52	1219	2231
53	1240	2205
54	1261	2179
55	1281	2151
56	1304	2128
57	1326	2103
58	1347	2078
59	1376	2064
60	1399	2041
61	1422	2018
62	1444	1994
63	1466	1970
64	1488	1946
65	1511	1923
66	1533	1900
67	1555	1875
68	1578	1853
69	1600	1829
70	1626	1809
71	1648	1786
72	1670	1762
73	1692	1738
74	1714	1714
75	1735	1689
76	1756	1665
77	1776	1640
78	1800	1617
79	1824	1596
80	1847	1573
81	1870	1550
82	1892	1527
83	1914	1504
84	1936	1480
85	1958	1457
86	1980	1434
87	2003	1411
88	2028	1390
89	2051	1367
90	2072	1343
91	2092	1319
92	2112	1294
93	2134	1271
94	2155	1247
95	2177	1224
96	2202	1203
97	2240	1188
98	2263	1166
99	2286	1143
100	2306	1119
101	2328	1095
102	2350	1072
103	2370	1048
104	2389	1024
105	2411	1000
106	2434	978
107	2458	956
108	2480	932
109	2501	909
110	2522	886
111	2545	863
112	2567	840
113	2588	817
114	2612	794
115	2633	771
116	2659	750
117	2683	727
118	2706	705
119	2727	681
120	2748	658
121	2756	632
122	2778	609
123	2801	587
124	2823	564
125	2845	542
126	2870	519
127	2894	497
128	2917	474
129	2943	452
130	2965	430
131	2986	407
132	3009	384
133	3032	362
134	3055	339
135	3076	316
136	3100	294
137	3123	271
138	3145	248
139	3167	226
140	3190	203
141	3213	181
142	3233	158
143	3256	135
144	3282	113
145	3305	90
146	3332	68
147	3356	45
148	3381	22
149	3403	0
