name,type
None,0
,0
l-cysteine l-lysine l-lysine,1
Dextran,2
PEI,3
PEG to the PEI,4
PEG,4
PEG-NH2,1
BSA,1
alginate,1
COOH,5
NH2,1
dimercaptosuccinic,5
folic acid with intermediate organic (PEG) coating,5
folic acid with intermediate inorganic (silica) coating,5
Digestive enzymes,7
simethicone then esters on top,7
alumina-simethicone,7
silica,5
PVP,3
Folic acid,5
D-penicillamine (NH2/COOH),1
3-mercaptopropionic acid (COOH),5
cysteamine (NH2),1
cysteamine,1
Zn then cysteamine,1
SGF,7
TGA-gelatine,7
TGA,7
CTAB,1
Phosphonate,5
PEG-OCH3,4
PEG-COOH,5
Citrate and PVP,3
Citrate,5
Starch,2
Gum Arabic,6
Star anise,7
Sodium borohydride,5
Chitosan,2
PVA,2
Poloxamer 188 (Pluronic F68),4
metal catalyst residues,7
Tween 80,4
COONa,5
SO3Na,5
Hyaluronic acid ,5
Hyaluronic acid,5
Ph,6
DPA,1
MPA,1
CyA,7
Silica,5
CKK,3
Ac,5
C12,6
OH,2
OS,7
SC,7
Poloxamer,4
PEA,1
PEG-FA,5
Silica-FA,5
SodiumAlginate,1
Liposome,7
OleicAcid,5
Silica-NH2,1
DMSA,5
MSA,5
CYS,1
GSH,3
PAMAM,1
Urea,3
DPPC,1
DHLA,5
FA,5
DDAB,1
Tween80,4
Citrate-Lactose,5
Citrate-Oligonucleotide,5
CH3,6
AscorbicAcid,5
